,Words,Total Frequency
0,<?xml,500
1,"version=""1.0""",500
2,"encoding=""UTF-8""?><root><date>",499
3,26-feb-1987,167
4,15:01:01.79,1
5,</date>,499
6,<title>,500
7,bahia,4
8,cocoa,7
9,review,8
10,</title>,500
11,<body>,500
12,shower,1
13,continu,54
14,throughout,1
15,week,119
16,zone,2
17,allevi,1
18,drought,1
19,sinc,46
20,earli,25
21,januari,107
22,improv,35
23,prospect,13
24,come,28
25,temporao,2
26,although,19
27,normal,4
28,humid,1
29,level,42
30,restor,4
31,comissaria,5
32,smith,10
33,say,1435
34,weekli,10
35,dri,5
36,period,72
37,mean,12
38,late,41
39,year,397
40,arriv,5
41,end,105
42,februari,121
43,22,9
44,"155,221",1
45,bag,8
46,60,18
47,kilo,2
48,make,105
49,cumul,11
50,total,102
51,season,17
52,5.93,1
53,mln,717
54,5.81,1
55,stage,11
56,last,161
57,seem,6
58,deliv,4
59,earlier,63
60,consign,3
61,includ,107
62,figur,40
63,still,17
64,doubt,3
65,much,32
66,old,5
67,crop,19
68,avail,27
69,harvest,3
70,practic,4
71,estim,38
72,around,30
73,6.4,6
74,sale,215
75,stand,6
76,almost,8
77,6.2,2
78,hundr,4
79,thousand,5
80,hand,10
81,farmer,22
82,middleman,2
83,export,118
84,processor,4
85,would,267
86,fit,4
87,shipper,2
88,experienc,1
89,dificulti,1
90,obtain,11
91,+bahia,1
92,superior+,1
93,certif,27
94,view,10
95,low,63
96,qualiti,9
97,recent,44
98,sell,82
99,good,47
100,part,41
101,held,24
102,spot,4
103,bean,4
104,price,192
105,rise,164
106,340,1
107,350,3
108,cruzado,7
109,per,77
110,arroba,1
111,15,45
112,reluct,1
113,offer,156
114,nearbi,1
115,shipment,11
116,limit,22
117,book,6
118,march,100
119,"1,750",1
120,"1,780",2
121,dlr,684
122,tonn,82
123,port,25
124,name,24
125,new,198
126,also,137
127,light,5
128,open,23
129,june/juli,3
130,go,31
131,"1,850",2
132,"1,880",2
133,35,18
134,45,5
135,york,47
136,juli,6
137,aug/sept,3
138,"1,870",1
139,"1,875",1
140,fob,1
141,routin,2
142,butter,5
143,march/april,3
144,"4,340",1
145,"4,345",1
146,"4,350",1
147,april/may,2
148,2.27,3
149,time,66
150,may,84
151,"4,400",1
152,"4,415",1
153,"4,351",1
154,"4,450",1
155,2.28,2
156,sept,3
157,oct/dec,3
158,"4,480",1
159,dec,6
160,destin,9
161,u.,283
162,covert,2
163,currenc,30
164,area,29
165,uruguay,3
166,cake,1
167,regist,8
168,785,2
169,995,1
170,753,1
171,aug,1
172,0.39,1
173,buyer,10
174,argentina,30
175,convert,36
176,liquor,1
177,"2,325",1
178,"2,380",1
179,"2,375",1
180,1.25,10
181,"2,400",1
182,current,61
183,6.13,1
184,1986/87,12
185,1.06,2
186,1987/88,7
187,final,21
188,28,23
189,expect,111
190,publish,12
191,brazilian,15
192,trade,152
193,commiss,43
194,carniv,1
195,midday,2
196,27,19
197,</body></root>,500
198,15:02:20.00,1
199,standard,28
200,oil,127
201,srd,1
202,form,32
203,financi,50
204,unit,125
205,co,103
206,bp,3
207,north,14
208,america,15
209,inc,210
210,plan,76
211,ventur,32
212,manag,72
213,money,52
214,market,164
215,borrow,29
216,invest,60
217,activ,26
218,compani,284
219,subsidiari,28
220,british,25
221,petroleum,15
222,plc,19
223,own,29
224,55,9
225,pct,580
226,interest,96
227,call,46
228,bp/standard,1
229,oper,125
230,oversight,1
231,joint,34
232,committe,48
233,15:03:27.51,1
234,texa,26
235,commerc,16
236,bancshar,5
237,tcb,1
238,file,40
239,bank-houston,1
240,applic,11
241,comptrol,1
242,effort,16
243,creat,11
244,large,26
245,bank,276
246,network,9
247,harri,5
248,counti,3
249,link,10
250,31,59
251,13.5,6
252,billion,244
253,asset,43
254,7.5,9
255,deposit,19
256,15:07:13.72,1
257,talk,37
258,point/bankamerica,1
259,bac,3
260,equiti,22
261,bankamerica,28
262,corp,204
263,pressur,13
264,act,22
265,quickli,13
266,propos,58
267,well,49
268,delay,16
269,stock,165
270,poor,13
271,perform,12
272,analyst,85
273,recommend,13
274,one-billion-dlr,2
275,yet,20
276,approv,59
277,secur,65
278,exchang,98
279,fell,41
280,along,10
281,issu,73
282,news,20
283,brazil,47
284,suspend,12
285,payment,63
286,larg,21
287,portion,12
288,foreign,104
289,debt,106
290,12,51
291,1/8,2
292,afternoon,12
293,fall,53
294,11-1/2,5
295,immedi,19
296,threat,4
297,first,102
298,interst,5
299,bancorp,6
300,takeov,18
301,bid,40
302,nervou,2
303,near,17
304,term,44
305,26,19
306,see,40
307,one,117
308,major,51
309,factor,17
310,lead,36
311,withdraw,5
312,9,10
313,spokesman,50
314,sec,6
315,take,65
316,longer,9
317,condit,40
318,must,23
319,re-evalu,2
320,``,296
321,circumst,8
322,determin,20
323,arthur,3
324,miller,3
325,vice,7
326,presid,65
327,commun,25
328,ask,27
329,proceed,4
330,receiv,39
331,put,19
332,long,22
333,conceiv,2
334,could,88
335,lawrenc,5
336,cohn,7
337,merril,6
338,lynch,6
339,pierc,3
340,fenner,3
341,wait,8
342,show,30
343,outlook,15
344,specifi,6
345,type,8
346,believ,14
347,prefer,33
348,encompass,2
349,least,23
350,depress,8
351,convers,6
352,dilut,14
353,holder,14
354,note,113
355,daniel,9
356,william,9
357,sutro,2
358,group,106
359,sever,31
360,problem,18
361,hang,2
362,industri,113
363,quarter,76
364,initi,41
365,shock,4
366,reaction,4
367,like,28
368,ea,21
369,nevertheless,3
370,hold,32
371,2.70,3
372,loan,111
373,lose,13
374,15-20,2
375,rate,133
376,reduc,41
377,200,17
378,pay,61
379,joseph,2
380,arsenio,2
381,birr,2
382,wilson,11
383,howev,35
384,potenti,9
385,loss,188
386,even,25
387,fail,19
388,servic,50
389,restructur,20
390,similar,6
391,way,25
392,mexico,6
393,minim,4
394,creditor,18
395,15:10:44.60,1
396,nation,67
397,averag,38
398,farmer-own,2
399,reserv,60
400,agricultur,47
401,depart,63
402,report,133
403,five-day,1
404,25,48
405,follow,30
406,dlrs/bu-sorghum,1
407,cwt,2
408,-,50
409,natl,2
410,releas,13
411,avg,28
412,rate-x,2
413,wheat,52
414,2.55,3
415,2.40,1
416,iv,5
417,4.65,2
418,--,35
419,v,399
420,vi,2
421,4.45,1
422,corn,13
423,1.35,2
424,1.92,1
425,3.15,2
426,3.25,5
427,x,6
428,1986,160
429,oat,1
430,1.24,1
431,0.99,1
432,1.65,1
433,barley,9
434,n.a,2
435,1.56,1
436,2.65,2
437,sorghum,2
438,2.34,1
439,3.25-i,1
440,5.36,2
441,5.54,1
442,ii,1
443,iii,2
444,matur,10
445,reflect,21
446,grain,17
447,enter,12
448,oct,1
449,6,7
450,1981,4
451,feedgrain,1
452,23,10
453,wheat/barley,1
454,5/14/82,1
455,corn/sorghum,1
456,7/1/82,1
457,cover,30
458,19,13
459,1984,10
460,x-1986,1
461,y-dlr,1
462,100,20
463,lb,11
464,n.a.-not,1
465,15:14:36.41,1
466,argentin,12
467,grain/oilse,1
468,registr,18
469,board,55
470,oilse,2
471,product,118
472,11,20
473,futur,41
474,month,107
475,1985/86,9
476,bracket,5
477,bread,3
478,prev,8
